gene	p.value	FDR	summary.logFC	logFC.pre.ciliated	logFC.ciliated	logFC.secretory.mid	logFC.secretory.early	logFC.luminal.late	logFC.transcriptionally.active	logFC.luminal.early	logFC.MUC5B.	logFC.KRT5.	logFC.remodeling	logFC.cycling	logFC.hormone.responsive.early	logFC.hormone.responsive.late
KYNU	0.999999996698219	1	-0.0550050324606289	NA	0.0556944127712219	-0.0550050324606289	0.0245624097144982	0.0703775588204145	-0.150307221844419	0.0315118022347344	0	NA	-0.0507057486836466	0.0289973488998747	0.030145709963767	-0.00474598496527139
OTUD1	0.999999996711545	1	-0.123923699891364	NA	-0.0357694286253163	-0.0297263082926919	-0.123923699891364	-0.142226268692015	-0.00911647523199192	0.0112491698410257	-0.269074782124114	NA	-0.0172453492160282	-0.0772879316110893	-0.0212971509347742	-0.0383621671072251
DIPK2A	0.999999996784849	1	-0.0341266111610566	NA	-0.0125280180777326	-0.0341266111610566	-0.016437347882827	0.0166542376599527	0.00220350329217346	0.0248885668165877	-0.438793111641438	NA	0.0366335504906165	-0.0823054250132281	0.0266619181080879	-0.0753215537092364
AHDC1	0.99999999682895	1	-0.0315615371040928	NA	-0.0322558798769715	-0.0315615371040928	-0.0275530804135949	-0.00575689152716927	-0.00991109021800456	0.00721785945053619	-0.252259029964894	NA	0.0139476781329439	0	-0.0281306577466476	-0.0126770605494347
NIPAL1	0.999999996842937	1	-0.0226112955954256	NA	-0.0254417894704667	-0.0226112955954256	-0.00785446434422224	-0.0573263645458906	-0.0229225338781843	-0.0641208363849966	0	NA	-0.012031406275607	-0.0354444464929917	-0.0149143381041821	-0.0249144364000621
GALNT1	0.999999996848188	1	-0.264735683689963	NA	-0.0741774653732061	-0.0586375610919739	-0.264735683689963	0.0246348653605044	0.0427162066669005	-0.017384378577156	-0.252259029964894	NA	0.0234622860682423	-0.0998343437482806	0.0589632887967705	-0.0681595299735083
TMEM41A	0.999999996866417	1	-0.135302053572369	NA	0.00269736372758124	-0.0537587472969021	-0.135302053572369	-0.110720724496386	-0.0416371785672489	0.0837995714253348	-0.269074782124114	NA	0.0682149162661543	-0.015830139542794	-0.0157076269774861	-0.105482855442564
MCCC2	0.999999996906869	1	-0.0692889660517125	NA	-0.0513081368711797	-0.0692889660517125	0.0174536314955616	-0.0470263566701921	-0.0380637174896433	-0.0980723486328123	0.4316004819787	NA	0.0298688117898453	-0.160934021092172	-0.0711487241491332	0.0203933670283926
SEPTIN9	0.999999996923212	1	-0.135451527298605	NA	-0.135451527298605	-0.0448516028960648	-0.015995415468348	0.0175962836664681	0.004224094670065	-0.0534955522054031	0.262676976736016	NA	-0.0638332624738888	-0.000682275327592824	0.0420812087078154	0.0563916120030744
CTH	0.999999996944921	1	-0.10951164492546	NA	-0.10951164492546	-0.013535282324307	0.0654272042313668	0.022695865879964	0.0126096258628705	0.0332442407491411	0.255279585729432	NA	0.0399751055308532	0.0594096011324517	0.10743509498389	0.0986544148012858
GSAP	0.999999996961858	1	-0.0370095726015016	NA	-0.0106413831245569	-0.0370095726015016	-0.0255792109691393	-0.0051235474430074	-0.0186411558908275	-0.102611304834326	0	NA	-0.0820300655608369	-0.0260133455753036	-0.176154545823088	-0.0338332680544055
RELCH	0.999999996966045	1	-0.0301585836457422	NA	-0.0108821713879298	-0.0301585836457422	-0.00572559609162871	0.0083274303888982	-0.0179538778775317	0.0423899460246386	-0.252259029964894	NA	-0.101481879415644	-0.0628420718269564	-0.109128859171719	-0.0902034781437927
PSORS1C2	0.999999997044672	1	-0.0122895387841271	NA	-0.00177880326036241	-0.0122895387841271	-0.0219447039316584	-0.0047785477619916	-0.0343586378789849	0.00156743884786625	0	NA	0.000842657435357239	0	-0.00396792748413519	-0.0186792871661461
APOL2	0.999999997078377	1	-0.142389455958538	NA	-0.0138058429579316	-0.0358649349111561	-0.142389455958538	-0.0842922561576843	-0.00562940535058059	-0.0954185690041388	0	NA	-0.0765141913104552	0.101045472900289	-0.0365332027640205	-0.202513442859135
ZNF703	0.999999997082898	1	-0.172523733434634	NA	-0.0711525544225054	-0.0274968248536834	-0.172523733434634	-0.00892460164740283	0.0471639371657431	0.0615929817116511	0	NA	0.0240859761043781	-0.0710055333028936	0.0125113402278497	-0.0553401802055034
SH3BP5	0.999999997109011	1	-0.0728097994318129	NA	-0.0569120066853459	-0.0118861888934359	-0.0728097994318129	-0.0715952594113534	-0.0203560187576829	-0.0854531043331029	-0.269074782124114	NA	-0.0771942894085165	-0.0568111673358311	-0.135316567920647	-0.0582429577605688
CLK4	0.999999997161522	1	-0.0426177191281507	NA	-0.0695048435758309	-0.0426177191281507	-0.139956639494165	-0.0330008831667474	-0.0394520766257353	-0.0030059345582011	-0.252259029964894	NA	-0.0582967887576093	0.0456011044535923	-0.0300879731196167	-0.105221131061598
ZNF483	0.999999997236568	1	-0.022234706238424	NA	-0.031454723320624	-0.022234706238424	0.00347430684001526	0.00308653696889339	-0.0523369318233564	0.0162862964725684	0	NA	-0.0396825400712469	0	-0.00160221327322932	-0.0188406091843565
