term_name	p_value	term_size	query_size	intersection_size
regulation of phosphate metabolic process	0.00342134740311285	761	97	14
regulation of biological process involved in symbiotic interaction	0.00342134740311285	49	97	4
cell surface receptor signaling pathway	0.00349645110064795	1830	97	24
positive regulation of leukocyte migration	0.00356870000578319	91	97	5
regulation of hemopoiesis	0.00360310327713973	268	97	8
regulation of leukocyte mediated cytotoxicity	0.00360826147314866	50	97	4
regulation of peptide secretion	0.00366576831887209	92	97	5
ERK1 and ERK2 cascade	0.00366576831887209	203	97	7
regulation of peptidyl-tyrosine phosphorylation	0.00372028333297212	144	97	6
lymphocyte mediated immunity	0.00383807567352238	145	97	6
regulation of peptide transport	0.00397425163034575	94	97	5
negative regulation of viral genome replication	0.00404906488882653	52	97	4
antigen processing and presentation of endogenous peptide antigen	0.00438614720980189	22	97	3
monocyte differentiation	0.00438614720980189	22	97	3
regulation of T cell proliferation	0.0044892059402617	97	97	5
positive regulation of defense response	0.00461581946345609	355	97	9
regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	0.00495324842127888	5	97	2
positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	0.00495324842127888	5	97	2
extrinsic apoptotic signaling pathway via death domain receptors	0.00517145959250187	56	97	4
positive regulation of intracellular signal transduction	0.00523746452915937	804	97	14
regulation of production of molecular mediator of immune response	0.00523746452915937	101	97	5
positive regulation of cell differentiation	0.00524259315879469	528	97	11
extrinsic apoptotic signaling pathway	0.00541167462504084	157	97	6
regulation of regulatory T cell differentiation	0.00541167462504084	24	97	3
positive regulation of response to biotic stimulus	0.00542652825849078	290	97	8
multicellular organismal process	0.00551724180786077	4129	97	41
cell surface receptor signaling pathway via JAK-STAT	0.00552838497545523	103	97	5
positive regulation of signal transduction	0.0055926346862907	1118	97	17
regulation of cell killing	0.0055926346862907	58	97	4
regulation of lymphocyte mediated immunity	0.00566279317247162	104	97	5
regulation of cell population proliferation	0.00566279317247162	1016	97	16
response to interferon-beta	0.00583458563646642	25	97	3
cell surface receptor signaling pathway via STAT	0.00610408285867142	106	97	5
negative regulation of immune effector process	0.00619745136460096	60	97	4
positive regulation of I-kappaB phosphorylation	0.00669522863879497	6	97	2
CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	0.00669522863879497	6	97	2
T cell proliferation	0.00678946711904463	109	97	5
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.00695519781933204	167	97	6
regulatory T cell differentiation	0.00708594383114855	27	97	3
peptide secretion	0.0072618734422528	111	97	5
response to type I interferon	0.00763873751836714	64	97	4
negative regulation of interleukin-6 production	0.00770036060851295	28	97	3
cell population proliferation	0.00770036060851295	1158	97	17
positive regulation of T cell mediated cytotoxicity	0.00770036060851295	28	97	3
peptidyl-tyrosine phosphorylation	0.00832345043550682	174	97	6
negative regulation of innate immune response	0.00832621068260987	66	97	4
leukocyte mediated cytotoxicity	0.00832621068260987	66	97	4
positive regulation of cell development	0.00836537165635337	242	97	7
peptidyl-tyrosine modification	0.00836537165635337	175	97	6
regulation of extrinsic apoptotic signaling pathway via death domain receptors	0.00836537165635337	29	97	3
regulation of I-kappaB phosphorylation	0.00856522106404186	7	97	2
T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	0.00856522106404186	7	97	2
positive regulation of chemokine (C-X-C motif) ligand 2 production	0.00856522106404186	7	97	2
inflammatory response to antigenic stimulus	0.00896183375951579	30	97	3
symbiont entry into host cell	0.00896183375951579	68	97	4
regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.00919336233717141	119	97	5
myeloid cell differentiation	0.00974412624991823	250	97	7
regulation of multicellular organismal development	0.0102834646048485	878	97	14
regulation of T cell mediated cytotoxicity	0.0105920949016871	32	97	3
positive regulation of extrinsic apoptotic signaling pathway	0.0105920949016871	32	97	3
interferon-mediated signaling pathway	0.0106992114495224	72	97	4
regulation of glial cell migration	0.0106992114495224	8	97	2
N-acylphosphatidylethanolamine metabolic process	0.0106992114495224	8	97	2
indole-containing compound catabolic process	0.0106992114495224	8	97	2
tryptophan catabolic process	0.0106992114495224	8	97	2
regulation of T cell mediated immune response to tumor cell	0.0106992114495224	8	97	2
production of molecular mediator of immune response	0.0108946702611683	125	97	5
regulation of myeloid leukocyte differentiation	0.0110114271375972	73	97	4
regulation of developmental process	0.0111689691452332	1551	97	20
peptide transport	0.0111689691452332	126	97	5
regulation of type II interferon production	0.0113801774882095	74	97	4
type II interferon production	0.0113801774882095	74	97	4
negative regulation of cytokine production	0.0115107657663636	190	97	6
T cell mediated cytotoxicity	0.0117804569475177	34	97	3
positive regulation of lymphocyte mediated immunity	0.0117804569475177	75	97	4
symbiont entry into host	0.0117804569475177	75	97	4
regulation of leukocyte differentiation	0.0119361031459106	192	97	6
regulation of response to stress	0.0120556839576284	1006	97	15
enamel mineralization	0.012660305035363	9	97	2
regulation of molecular function	0.012660305035363	1343	97	18
regulation of viral genome replication	0.012660305035363	77	97	4
positive regulation of memory T cell differentiation	0.012660305035363	9	97	2
T cell mediated immune response to tumor cell	0.012660305035363	9	97	2
dendritic cell antigen processing and presentation	0.012660305035363	9	97	2
regulation of adaptive immune response	0.0128405020758854	132	97	5
positive regulation of lymphocyte proliferation	0.0130346610936066	78	97	4
cell-cell adhesion	0.0131953739058159	614	97	11
biological process involved in symbiotic interaction	0.0133349781516041	198	97	6
positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	0.0134406687337175	79	97	4
regulation of insulin secretion	0.0134406687337175	79	97	4
leukocyte differentiation	0.0139026512991345	352	97	8
protein phosphorylation	0.0144115705489591	924	97	14
positive regulation of innate immune response	0.0144250881501535	275	97	7
adaptive immune response	0.0146492475691773	203	97	6
memory T cell differentiation	0.0146492475691773	10	97	2
immune response-regulating signaling pathway	0.0146492475691773	356	97	8
regulation of memory T cell differentiation	0.0146492475691773	10	97	2
amelogenesis	0.0146492475691773	10	97	2
immunological memory formation process	0.0146492475691773	10	97	2
regulation of type II interferon-mediated signaling pathway	0.0146492475691773	10	97	2
regulation of response to type II interferon	0.0146492475691773	10	97	2
negative regulation of T cell mediated immunity	0.0146492475691773	10	97	2
positive regulation of developmental process	0.0146525400085873	826	97	13
hemopoiesis	0.0149862200439317	535	97	10
positive regulation of adaptive immune response	0.016586730992294	85	97	4
regulation of transferase activity	0.0166032866875796	452	97	9
