term_name	p_value	term_size	query_size	intersection_size
chaperone-mediated autophagy	0.0211290051221733	12	99	2
dosage compensation by inactivation of X chromosome	0.0211290051221733	12	99	2
cell motility	0.0211290051221733	1168	99	16
regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	0.0211290051221733	12	99	2
positive regulation of transcription by RNA polymerase II	0.0215722288689358	850	99	13
RNA splicing	0.022229783068377	378	99	8
regulation of cell growth	0.022229783068377	296	99	7
regulation of phosphorus metabolic process	0.0242235428789309	761	99	12
long-term synaptic depression	0.0242235428789309	13	99	2
regulation of phosphate metabolic process	0.0242235428789309	761	99	12
negative regulation of phosphorylation	0.024495582748245	225	99	6
response to endogenous stimulus	0.0249505469247128	868	99	13
positive regulation of protein-containing complex assembly	0.0249505469247128	156	99	5
negative regulation of cell communication	0.0268141909422802	982	99	14
cellular component organization	0.0268357046176664	4880	99	44
nucleotide-binding oligomerization domain containing 2 signaling pathway	0.0272234702072225	14	99	2
memory	0.0272234702072225	48	99	3
sex-chromosome dosage compensation	0.0272234702072225	14	99	2
regulation of cell migration	0.0272340553239239	675	99	11
membraneless organelle assembly	0.0273150337848472	311	99	7
protein-RNA complex assembly	0.0273150337848472	161	99	5
cell differentiation	0.0273150337848472	2419	99	26
negative regulation of signaling	0.0273150337848472	987	99	14
translational initiation	0.0273150337848472	99	99	4
cellular developmental process	0.0273150337848472	2419	99	26
transforming growth factor beta receptor signaling pathway	0.0275503876609605	162	99	5
negative regulation of transferase activity	0.0275503876609605	162	99	5
regulation of protein-containing complex assembly	0.0281594380573754	314	99	7
negative regulation of growth	0.0295476206648241	165	99	5
negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway	0.0296724952774726	15	99	2
negative regulation of intracellular signal transduction	0.0305099902599673	496	99	9
cellular response to ionizing radiation	0.0322391934329438	52	99	3
regulation of synaptic plasticity	0.0326292611213848	105	99	4
developmental process	0.0329427452590924	3804	99	36
protein-RNA complex organization	0.033555450039306	171	99	5
positive regulation of protein catabolic process	0.0342549583356851	172	99	5
cellular response to nutrient levels	0.0349635653768161	173	99	5
response to oxidative stress	0.0352228123996162	248	99	6
negative regulation of phosphorus metabolic process	0.0356330043352668	249	99	6
negative regulation of phosphate metabolic process	0.0356330043352668	249	99	6
PERK-mediated unfolded protein response	0.036074778257179	17	99	2
cellular component assembly	0.036074778257179	2353	99	25
negative regulation of synaptic transmission	0.036074778257179	17	99	2
mesoderm development	0.036074778257179	55	99	3
cell growth	0.0362212565493678	333	99	7
catabolic process	0.0364617032686133	1977	99	22
protein modification by small protein conjugation	0.0365462686711003	612	99	10
protein modification process	0.0367495339838883	2105	99	23
regulation of proteasomal ubiquitin-dependent protein catabolic process	0.036922287762033	111	99	4
ubiquitin-dependent protein catabolic process	0.036922287762033	517	99	9
positive regulation of angiogenesis	0.036922287762033	111	99	4
regulation of cyclin-dependent protein serine/threonine kinase activity	0.036922287762033	56	99	3
regulation of cell motility	0.0377683200508781	718	99	11
regulation of transforming growth factor beta receptor signaling pathway	0.0401078426449717	114	99	4
positive regulation of vasculature development	0.0401078426449717	114	99	4
regulation of microtubule nucleation	0.0404641786091627	19	99	2
abducens nerve development	0.0404641786091627	1	99	1
abducens nerve morphogenesis	0.0404641786091627	1	99	1
positive regulation of TRAIL-activated apoptotic signaling pathway	0.0404641786091627	1	99	1
abducens nerve formation	0.0404641786091627	1	99	1
chaperone-mediated autophagy translocation complex disassembly	0.0404641786091627	1	99	1
response to cold	0.0404641786091627	19	99	2
regulation of cellular response to transforming growth factor beta stimulus	0.0404641786091627	115	99	4
slow axonal transport	0.0404641786091627	1	99	1
cellular component organization or biogenesis	0.0404641786091627	5031	99	44
positive regulation of endoribonuclease activity	0.0404641786091627	1	99	1
negative regulation of peptidyl-serine phosphorylation of STAT protein	0.0404641786091627	1	99	1
adrenal cortex development	0.0404641786091627	1	99	1
cellular response to transforming growth factor beta stimulus	0.0404641786091627	184	99	5
L-asparagine metabolic process	0.0404641786091627	1	99	1
adrenal cortex formation	0.0404641786091627	1	99	1
positive regulation of cellular response to heat	0.0404641786091627	1	99	1
regulation of translational initiation by eIF2 alpha dephosphorylation	0.0404641786091627	1	99	1
regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway	0.0404641786091627	1	99	1
negative regulation of MHC class I biosynthetic process	0.0404641786091627	1	99	1
multicellular organismal-level homeostasis	0.040779330951024	438	99	8
circadian regulation of gene expression	0.040779330951024	60	99	3
regulation of locomotion	0.041840149300721	737	99	11
positive regulation of catabolic process	0.0421456243233655	441	99	8
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	0.0423009550721046	188	99	5
protein ubiquitination	0.0427686267925515	538	99	9
positive regulation of translational initiation	0.0431682157058053	20	99	2
nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	0.0431682157058053	20	99	2
long-term memory	0.0431682157058053	20	99	2
response to transforming growth factor beta	0.0434581898928923	190	99	5
positive regulation of signal transduction by p53 class mediator	0.0472040518374519	21	99	2
mRNA splicing, via spliceosome	0.0473133519813509	274	99	6
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	0.0473133519813509	274	99	6
regulation of cell differentiation	0.0492470077775862	975	99	13
