term_name	p_value	term_size	query_size	intersection_size
positive regulation of ubiquitin-protein transferase activity	0.00118853878253167	17	99	3
regulation of biological process	0.00141482978954888	8453	99	71
signal transduction by p53 class mediator	0.00146495730531714	133	99	6
positive regulation of transferase activity	0.00173020025052705	259	99	8
positive regulation of mitochondrial ATP synthesis coupled electron transport	0.00174952328849402	4	99	2
establishment of spindle localization	0.00174952328849402	48	99	4
DNA replication checkpoint signaling	0.00189222893864481	20	99	3
positive regulation of G2/M transition of mitotic cell cycle	0.00189222893864481	20	99	3
cell cycle G1/S phase transition	0.00192081851984426	199	99	7
microtubule organizing center organization	0.00193668026528176	141	99	6
spindle localization	0.00198858949088666	50	99	4
intracellular signal transduction	0.0022226268298109	2172	99	27
nucleic acid metabolic process	0.00229019203581038	3980	99	41
chromatin remodeling	0.00240588588030254	424	99	10
biological regulation	0.00245687493055776	8757	99	72
nucleobase-containing compound metabolic process	0.00255820821060965	4419	99	44
mitotic DNA replication initiation	0.00266070921127569	5	99	2
regulation of anaphase-promoting complex-dependent catabolic process	0.00266070921127569	5	99	2
nuclear cell cycle DNA replication initiation	0.00266070921127569	5	99	2
regulation of mitochondrial ATP synthesis coupled electron transport	0.00266070921127569	5	99	2
cell cycle DNA replication initiation	0.00266070921127569	5	99	2
mitotic sister chromatid cohesion, centromeric	0.00266070921127569	5	99	2
metaphase/anaphase transition of meiotic cell cycle	0.00266070921127569	5	99	2
positive regulation of cell cycle G2/M phase transition	0.00267216604833261	23	99	3
positive regulation of cellular component organization	0.00268353544526621	786	99	14
anaphase-promoting complex-dependent catabolic process	0.00301047835963516	24	99	3
cellular process	0.00318496872907694	12661	99	92
establishment of cell polarity	0.00321719692590537	103	99	5
negative regulation of cytokinesis	0.00382397572213114	6	99	2
positive regulation of programmed necrotic cell death	0.00382397572213114	6	99	2
positive regulation of necroptotic process	0.00382397572213114	6	99	2
regulation of DNA recombination	0.00392109423785115	108	99	5
signal transduction in response to DNA damage	0.00439042142674368	168	99	6
DNA damage checkpoint signaling	0.00440049862200386	111	99	5
negative regulation of DNA metabolic process	0.00474977702830117	113	99	5
positive regulation of mitotic sister chromatid segregation	0.00520817514803945	7	99	2
protein localization to chromosome	0.00529825521310385	116	99	5
G1/S transition of mitotic cell cycle	0.0054697746155526	176	99	6
