genes	logFC	logCPM	F	PValue	FDR	sig
SLC14A1	-3.42834336343934	5.73592024043024	37.8652621867407	1.82687267344017e-08	5.68875101418744e-06	Down
NID1	-2.07293750716962	1.19277701159886	37.1299013867512	2.14972730481141e-08	6.57665697215814e-06	Down
CD34	2.09639749703227	1.65220499104137	37.2457760384108	2.28663454355914e-08	6.87488502941108e-06	Up
PAEP	3.45829298151904	5.89071209667288	36.6738760230486	2.50471709696836e-08	7.40292487066683e-06	Up
KRT4	-4.63923498012761	2.35859475344239	35.5366736309131	2.55618038463977e-08	7.42911225789139e-06	Down
ABLIM1	-1.0902973306023	7.77462714874084	36.4430609269392	3.06002032162742e-08	8.747644978449e-06	Not Sig
NAT8L	-1.33187946724722	1.97269382074121	36.0911331932489	3.50276407617257e-08	9.70629840762432e-06	Not Sig
C5AR2	2.87276888294395	-1.00938937006604	34.4912425834211	3.51898906337415e-08	9.70629840762432e-06	Up
PDK2	-1.48962584264079	3.01469647869613	36.0364903904318	3.5623528964787e-08	9.70629840762432e-06	Not Sig
SPOCK2	-1.58097757855915	2.27430805122015	35.8670677161934	3.79856559913713e-08	1.01789426436973e-05	Not Sig
WNT7B	-1.51411002860572	4.45505890785754	35.8231748456028	3.85256459733925e-08	1.01789426436973e-05	Not Sig
MMP10	-3.83229756397942	7.94563075171835	35.3815239679811	4.54130344674537e-08	1.18195894782606e-05	Down
STYXL2	3.14808200379868	0.987534333310113	34.3242037193137	4.92916411502585e-08	1.26404064467384e-05	Up
VAV2	-0.627139045704115	6.28152296423777	35.0058572176027	5.2261435619129e-08	1.32077523815416e-05	Not Sig
CERS4	-0.885447936490719	5.39131449047277	34.9360460536268	5.36480741249263e-08	1.33645016655781e-05	Not Sig
IGF1	2.82577696656332	-0.0188142308862004	33.3896868891455	6.04157197092846e-08	1.48384411308522e-05	Up
TGFB2	-1.70362991428315	4.6542779361336	34.3723869984317	6.63308980305987e-08	1.6064974998022e-05	Not Sig
GJA4	3.43600623574573	1.65162972840233	33.5257283642759	7.37458203039566e-08	1.73840073216689e-05	Up
TCF7L1	-0.970912719560141	5.45341232360793	34.0894546713355	7.37708763506997e-08	1.73840073216689e-05	Not Sig
TMEM37	-1.83672748366027	2.28615123562792	33.8880575518802	8.00888659140287e-08	1.86211952507844e-05	Not Sig
DEFB1	2.45520351666653	2.85139955757291	33.569176910946	8.69783165293385e-08	1.99569458373501e-05	Up
SYT17	-1.09404085711575	3.62706309609675	33.4000974457417	9.58124899583327e-08	2.16984181804338e-05	Not Sig
COL9A1	-2.01776241045171	1.18111399068157	33.2336795655029	1.02905852840006e-07	2.30060546387695e-05	Down
SEMA6A	-1.16824445741706	5.32078696100173	33.172152513546	1.04450241409023e-07	2.30557380973486e-05	Not Sig
LPL	1.85568203195163	-0.161559177870362	31.3832977891215	1.14524811832213e-07	2.49635458591265e-05	Not Sig
NPR3	2.71142181735945	-0.350965560189445	31.8793853807748	1.22652901710499e-07	2.64052012349097e-05	Up
ZNF608	-0.86528910418057	5.49671704305778	32.5640644078691	1.31724255842863e-07	2.80122874803397e-05	Not Sig
ANGPTL2	-2.29012827194603	-0.375029809437186	31.8929676794044	1.43229660855895e-07	3.00920340482543e-05	Down
PTGS2	3.81397205570675	5.04337242962514	32.2593688807001	1.46248842233428e-07	3.03605632246014e-05	Up
AC144450.1	-1.94027976964081	-0.71348299934255	31.2661471547906	1.48189320848626e-07	3.04014750230393e-05	Not Sig
PDGFA	-1.29933588638534	3.70470269241089	32.1568908233188	1.54004998330519e-07	3.12271995452046e-05	Not Sig
NTF3	-2.61970852556031	-0.911885699552073	31.1210370501934	1.58558317492054e-07	3.17809188554763e-05	Down
TFPI2	1.58646225951239	5.62295814111936	31.9740109954682	1.65184522563393e-07	3.27328148234143e-05	Not Sig
TRIL	-1.81962765684249	1.78649414307547	31.6418273615997	1.89304298989462e-07	3.70908805143622e-05	Not Sig
ST6GAL2	-1.52565876332853	1.91758701019476	31.4872636795917	2.00853695648484e-07	3.89165193857584e-05	Not Sig
CYFIP2	-1.01367883968863	4.88706908876305	31.2773852810957	2.16107156589435e-07	4.14118307319403e-05	Not Sig
PKP1	-2.77058996856509	0.0303894761039693	29.664044869681	2.38084283067908e-07	4.51273231319367e-05	Down
