genes	logFC	logCPM	F	PValue	FDR	sig
FAM219B	-1.17045223767415	5.86589304879309	95.59401576	5.14667053641239e-16	1.26227342916961e-14	Not Sig
BRMS1	1.53002839670435	5.4151542746738	95.5617920979415	5.18905424737655e-16	1.27088101075495e-14	Not Sig
ABCF1	1.20766879682971	6.06901645955188	95.4271718048694	5.36708558722045e-16	1.31264009074264e-14	Not Sig
MRS2	1.00554023951964	5.00437483998408	95.4008325908109	5.40390346248597e-16	1.31979367757465e-14	Not Sig
MALAT1	-2.53409845689758	8.4020996199051	95.342914970114	5.48192417970337e-16	1.33697613770164e-14	Down
PRTN3	-6.90429955081131	-0.710909569144509	88.330893668988	5.59722302797319e-16	1.36318959723179e-14	Down
RNF14	1.26187910763694	4.83033700780021	95.2292572805731	5.64251968802634e-16	1.37230485801678e-14	Not Sig
NMUR1	-5.52273186027223	-0.529642565184178	86.9606238655293	5.7119218973636e-16	1.38724922069953e-14	Down
MPDU1	1.31917304758012	6.1617984502293	95.144930865151	5.76206136625859e-16	1.3974801961727e-14	Not Sig
DDX10	1.63808852024606	4.11304714273392	95.1164205759936	5.80871305577439e-16	1.40683803148047e-14	Not Sig
TNFAIP1	1.07534981587672	5.92405416330341	95.0911142281744	5.84070469856006e-16	1.41262425150472e-14	Not Sig
POLR2B	0.859271585146827	6.73828573167417	95.063916574734	5.88077685083456e-16	1.42034607652151e-14	Not Sig
FARSA	1.27451169981716	6.05467562970461	95.0032135440963	5.97148458618391e-16	1.44025931139523e-14	Not Sig
TIGAR	3.45465121661672	2.84894158104442	94.9378254323881	6.16651664542975e-16	1.4852447135774e-14	Up
CTC-458G6.4	2.71228595581355	0.157337611945019	94.0516743675759	6.22556953820608e-16	1.49586554239778e-14	Up
UBTD2	1.33327030195536	4.68656577712488	94.8381208890107	6.22776914658095e-16	1.49586554239778e-14	Not Sig
GGT7	-1.51334867142316	4.01987640370573	94.8234090233669	6.25431755079809e-16	1.50017592091908e-14	Not Sig
SRFBP1	1.49362601572823	3.00118583453353	94.8172933268295	6.27716250261393e-16	1.5035873587992e-14	Not Sig
YEATS2	-1.33750009789498	5.9772065355107	94.7879371567982	6.30456331143738e-16	1.50807921844781e-14	Not Sig
LANCL2	1.35681042153359	3.87309220605968	94.7076775825629	6.43990183153494e-16	1.53834257723707e-14	Not Sig
LINC00973	4.46566671020078	-0.842438247945774	80.2630819681706	6.54870137218577e-16	1.56219226440732e-14	Up
SCIRT	-3.94529844268116	1.41121836453433	94.4400394805028	6.76112900391308e-16	1.61066349139667e-14	Down
RP11-478C6.7	-5.23674535794676	-1.24673789704844	84.7914613535108	6.7844962590084e-16	1.61373160914108e-14	Down
MAPK8IP3	-2.93780816561496	7.9809037774521	94.4926250661564	6.79251634998025e-16	1.61373160914108e-14	Down
GRHL3	3.07996547931999	1.96288727787668	94.621311250085	6.8366357044195e-16	1.622003447805e-14	Up
SLC27A1	-1.51972224853429	5.94712348024972	94.427743538604	6.90514877431575e-16	1.63603239574073e-14	Not Sig
PROB1	-2.34937695406961	2.76736659791867	94.2976781032252	7.1837077899679e-16	1.69972179703474e-14	Down
GNL3L	1.6467608797578	4.37970830532047	94.2587523793934	7.21107673518539e-16	1.70388558412145e-14	Not Sig
PCSK4	-3.40907494190132	4.22024266021765	94.187450104427	7.3506486296087e-16	1.73451435457532e-14	Down
NR2F2-AS1	-2.4744267151903	0.484921044367948	94.3045956041866	7.3635651793152e-16	1.73521418374187e-14	Down
UGGT1	1.40560209685942	5.74133772240823	94.1647098181368	7.38042984802908e-16	1.73684123738099e-14	Not Sig
SIDT2	-1.34573878599429	4.29336235304822	94.1481534829682	7.41499881240897e-16	1.74262465351466e-14	Not Sig
KITLG	3.25137830710352	3.08535139055011	94.1465437528158	7.480040691735e-16	1.75554440891622e-14	Up
FGFBP1	3.36857772484516	6.62066163666795	94.035427384367	7.62882267945419e-16	1.78742395158512e-14	Up
DIPK1B	-4.22986396236731	5.85600852732542	94.0312236909245	7.63637368924715e-16	1.78742395158512e-14	Down
VPS29	0.987889067422322	5.55809348508697	93.9779139713519	7.73762754715152e-16	1.80869636953389e-14	Not Sig
RASA3	-1.97488531276669	4.51664216834484	93.9654203018348	7.7660403434233e-16	1.81290778458655e-14	Not Sig
MICALL1	1.67031037922779	5.43019647723874	93.9346594896337	7.824114491326e-16	1.82402284090565e-14	Not Sig
METTL21A	1.23109329373022	3.4416858306743	93.8704322203933	7.9628136230939e-16	1.85283224564305e-14	Not Sig
VEGFA	-3.70654170784963	9.45162985198308	93.8615907140045	7.96894244886047e-16	1.85283224564305e-14	Down
DOLPP1	1.29813735523329	4.25509515349093	93.8173586015299	8.06388213500444e-16	1.87240980919051e-14	Not Sig
TAF5L	1.26237568031058	4.31454700850241	93.728677075972	8.24703400338763e-16	1.91239067754087e-14	Not Sig
FAM136A	1.08857687693229	5.98220540767156	93.6411523042993	8.4273803723076e-16	1.95161565647145e-14	Not Sig
RARA	-1.83726018043778	5.55734062090179	93.5649792252907	8.59276339441691e-16	1.98727596912257e-14	Not Sig
PPP2R3C	1.49228819933739	3.08902950536176	93.5675983820167	8.6074579082271e-16	1.98778540362963e-14	Not Sig
ITGA2B	-4.72942481317233	0.928461592353235	91.717262651537	8.61776445202433e-16	1.98778540362963e-14	Down
CDRT1	3.09081200824164	2.06137312660909	93.6620613764075	8.64657536745731e-16	1.99179631780344e-14	Up
WNT3A	-4.55763724857127	-0.575452322799791	86.6281572315673	8.71763834199142e-16	2.00551685234362e-14	Down
BCCIP	1.12924969735147	5.41331990547647	93.4346281100263	8.88161779245107e-16	2.04054876238158e-14	Not Sig
ATG3	1.22359201653671	5.04875067438352	93.4007071807296	8.95976848769343e-16	2.05579530116313e-14	Not Sig
POFUT2	-1.8513747677276	6.37614809686303	93.3632245074734	9.04383766408058e-16	2.07235796565358e-14	Not Sig
FAM171A2	-2.02248763066807	4.17616730173909	93.3334409132816	9.12063579003225e-16	2.08721321399715e-14	Down
ALDH1B1	2.0504860945624	4.42411536546073	93.2207754484932	9.38893684146115e-16	2.14579660080471e-14	Up
GPAA1P1	-3.7649147164562	4.10135509436206	93.2190257138295	9.41177669344026e-16	2.14820107303941e-14	Down
NOL3	-2.72281568305072	5.90043607045614	93.1302563198285	9.59861605469491e-16	2.18798257204928e-14	Down
ITGB1BP1	0.989402536261167	5.20708684490953	93.0507029445167	9.79309308685866e-16	2.22939891969506e-14	Not Sig
SRP19	1.21704303845414	4.9865211400435	93.0138128085607	9.88725997957781e-16	2.24790142795147e-14	Not Sig
PLPP6	1.68867858465422	3.12711155779254	92.9646798305902	1.00437318438481e-15	2.28050255069041e-14	Not Sig
DNAH1	-2.99056660237016	4.62412149574931	92.8244331255002	1.03828950675912e-15	2.35142599810962e-14	Down
FADD	1.54536576725872	4.78387965244417	92.8221796795978	1.03830600902879e-15	2.35142599810962e-14	Not Sig
BOLA2-SMG1P6	1.35801554614295	4.02725232129334	92.7475433522757	1.0587198623969e-15	2.3945469468842e-14	Not Sig
DDX18	1.38914306939921	5.61493066268105	92.6728193777343	1.07835722873388e-15	2.43580224801313e-14	Not Sig
LMNTD2	-3.26800950994857	3.50804009164832	92.4609883234688	1.14225150190763e-15	2.57678935191011e-14	Down
NFATC4	-5.91309856379891	4.77676632866256	92.5301497149241	1.14858061078878e-15	2.58771946911301e-14	Down
SRSF2	1.1593642189326	7.43903105568101	92.3701057676247	1.16492706394241e-15	2.6211610504552e-14	Not Sig
TSFM	0.992376309465684	4.55796337852756	92.3549103457186	1.16991433894948e-15	2.62899049518054e-14	Not Sig
KYNU	3.07320209279033	3.67820763001591	92.357014771771	1.18409735183869e-15	2.65743753170696e-14	Up
CXCL3	3.6676524415058	6.06637053624311	92.2222255045382	1.2101432165557e-15	2.71240069541109e-14	Up
CDC42SE1	1.02544601067512	6.41579867838564	92.1973401680123	1.21756065809893e-15	2.72552281847613e-14	Not Sig
NADK	0.967867665518577	6.18554584035413	92.0529221724624	1.26341223818838e-15	2.82453623199089e-14	Not Sig
RP11-216L13.19	-4.58516647642397	3.69463153440318	92.00537382564	1.30221046663845e-15	2.9075475182127e-14	Down
RPL10P19	-3.92786142660339	1.66944387161972	92.1586591510998	1.31467202352634e-15	2.93161774248752e-14	Down
BRCC3	1.39734501448395	4.85470985770455	91.8298290284135	1.33818097784985e-15	2.98022987123189e-14	Not Sig
RAB3A	-2.10176871523907	3.80474436817365	91.8139190814692	1.34493107288474e-15	2.9914423531842e-14	Down
CCT2	1.34299974659862	7.3740642792583	91.6211286716186	1.41128122877015e-15	3.13502191940048e-14	Not Sig
TEX261	1.43904547734611	5.76328018475052	91.5881476119729	1.42335209995344e-15	3.15781347569823e-14	Not Sig
NUDT19	1.22913034632936	3.55488847595166	91.5592730799025	1.43579603881378e-15	3.18024788743479e-14	Not Sig
NUP35	1.54583210947483	3.35998143506287	91.5582838610174	1.43711167295482e-15	3.18024788743479e-14	Not Sig
PREB	1.13825124173503	5.60415032924066	91.537187993856	1.44207507406025e-15	3.18718696342999e-14	Not Sig
KLHL42	1.86893502007916	3.27093393854252	91.5242994283103	1.45109260217909e-15	3.20305731605051e-14	Not Sig
LTV1	2.05503215868977	4.51511854863743	91.496327161925	1.45821481989984e-15	3.21187350737761e-14	Up
PTDSS1	1.50073266251112	5.24581356268912	91.4929682741299	1.45877039674451e-15	3.21187350737761e-14	Not Sig
RANGAP1	1.14246580215734	6.73410746346948	91.4484426928465	1.47527379966758e-15	3.24411406287557e-14	Not Sig
ACTB	1.3436557637646	11.8923052639388	91.4300650308063	1.48224849328946e-15	3.25534625012364e-14	Not Sig
DNAJB13	-2.49302708669483	6.07718933812255	91.3549324836846	1.51131117815858e-15	3.31499928612948e-14	Down
ZNF579	-1.5386738610116	5.33968361691358	91.3087757525532	1.52926007965873e-15	3.34962369499899e-14	Not Sig
LY6K	2.89002912384472	-0.786963672003535	83.6438771717401	1.53093822967897e-15	3.34962369499899e-14	Up
KCTD11	-1.7076789695676	5.81104217147344	91.2490377889496	1.55295035470259e-15	3.39352735404809e-14	Not Sig
ACTRT3	2.84115054375303	-0.0256759197299421	90.4205264568548	1.56171234458543e-15	3.40840298684365e-14	Up
ZNF496	-1.19328915850792	5.31407747711005	91.204037667121	1.5710121646029e-15	3.42441376579316e-14	Not Sig
JAK3	-3.95504426802114	2.99565495488492	91.1112618629732	1.57702765372984e-15	3.43323448511123e-14	Down
RP11-16E12.2	-3.58426277812074	-0.391265727253387	84.4193131339943	1.61030203112021e-15	3.49944482527836e-14	Down
POLB	0.892819326472192	3.98718160703496	91.1075324075983	1.61145440686921e-15	3.49944482527836e-14	Not Sig
MAILR	-2.23019183449098	1.44546503550584	91.2275593001238	1.61473223173419e-15	3.50220157425134e-14	Down
SEPHS2	1.55976101492696	5.43944714164415	91.0908206750889	1.61761157968342e-15	3.50408828900862e-14	Not Sig
S1PR3	3.24536882763301	0.715749370762948	90.8639274740432	1.6425346894707e-15	3.55366252047024e-14	Up
USP1	2.06748107118049	4.86446963745729	90.9582008013851	1.67454269481706e-15	3.61842323571498e-14	Up
FBXL8	-1.80258753522132	3.73129561226314	90.9115198718453	1.69600241082246e-15	3.66025866830718e-14	Not Sig
RP11-470M1.2	-3.92557882655556	-0.29085706642741	84.0081050494429	1.70034556346078e-15	3.66509591293314e-14	Down
C6orf132	1.48105961180144	5.88284036766565	90.8726846214761	1.71093323150609e-15	3.68336465321028e-14	Not Sig
XYLT2	-1.16620045807112	5.59348549355855	90.8234166825165	1.73276028323673e-15	3.72575509483132e-14	Not Sig
USP31	1.50851410421463	3.82920270814634	90.8034630370445	1.74336590388849e-15	3.74394268867087e-14	Not Sig
NLGN2	-2.86452801410705	6.17120219232543	90.7616887582764	1.76072026219286e-15	3.77656087725942e-14	Down
TATDN2	1.18375486243062	5.25553552945454	90.7429444085954	1.76932008264289e-15	3.79034442274283e-14	Not Sig
SLC36A1	2.25862875876539	2.80091368193185	90.7031128541903	1.7990477717678e-15	3.84930000540944e-14	Up
EPB41L4A-AS1	-1.65159034061366	6.04850703514853	90.6222508734646	1.82503512282799e-15	3.90011794998462e-14	Not Sig
WDR46	1.29736925350392	5.13681478809958	90.617461529321	1.82753048985409e-15	3.90067034052334e-14	Not Sig
CCND1	2.06417402548697	8.28992846880644	90.5943113885164	1.83819681952412e-15	3.91864011477526e-14	Up
CCHCR1	-1.24019146279316	5.28692545398039	90.3872581900362	1.93929974627487e-15	4.12912197503556e-14	Not Sig
AREL1	1.05428900578164	5.07685075180016	90.3394223409823	1.96362870793641e-15	4.17122512786596e-14	Not Sig
BLZF1	1.16819167835935	4.08804947993053	90.3406698682486	1.96385814312304e-15	4.17122512786596e-14	Not Sig
CCDC183	-4.45661167549512	3.09490757249741	90.5077393721735	1.97149523078492e-15	4.18235204798387e-14	Down
POLR3B	1.85779963627995	3.34040481454978	90.3198248204516	1.97791225237603e-15	4.19086681129201e-14	Not Sig
AC074289.1	-3.48242322387302	1.36913136777856	90.5505269499967	2.01814657360506e-15	4.27092717846179e-14	Down
ALOX15B	-6.10217049658308	-0.162130738389585	83.1607432757298	2.08864913406332e-15	4.41477134542983e-14	Down
NIFK	1.11312420767535	5.00495889634811	90.051312894145	2.11560501981851e-15	4.46633418106479e-14	Not Sig
FRMD5	1.76796292952287	3.13348395722151	89.9905481946157	2.15643885021403e-15	4.54524976536064e-14	Not Sig
KLF3-AS1	-3.36423849862257	1.28195607250358	90.1901057063489	2.15819864991318e-15	4.54524976536064e-14	Down
MSLNL	-6.00962638027101	0.497785635707039	80.3525124331612	2.21205989741668e-15	4.65306399169507e-14	Down
UTP20	1.91118882279639	4.30906905446182	89.8748120887811	2.2162985668841e-15	4.65636318184638e-14	Not Sig
SHTN1	1.7299362261556	4.64102150467682	89.8466345208449	2.23133154462203e-15	4.68230559267376e-14	Not Sig
XPO4	1.5987228225801	3.9745245269027	89.7831826015983	2.2697248938054e-15	4.75714695891569e-14	Not Sig
TUBB8	-3.14142948797503	0.657040631747027	88.9329599165739	2.30750835742053e-15	4.83053190116436e-14	Down
FKBP8	-1.33733449798507	8.18873230006247	89.6913190850661	2.32202783014908e-15	4.85509847747478e-14	Not Sig
RP11-334C17.5	-3.29193954940163	3.71660800366921	89.6910430418879	2.33004235368922e-15	4.86602138486617e-14	Down
DOLK	1.68489029350263	4.0295844977375	89.6382833885548	2.35620129326751e-15	4.91476532918647e-14	Not Sig
P4HTM	-1.25361672401779	6.90462488044356	89.6206736400474	2.36498774782302e-15	4.92719908560786e-14	Not Sig
TRMT10C	1.628889720457	4.32728328685753	89.6158926295195	2.36959502481856e-15	4.93090668768331e-14	Not Sig
CDK18	-3.40992082075746	6.28747492847909	89.599367865372	2.37855268065335e-15	4.94327658989936e-14	Down
PCNA	2.04390544049199	6.21811667616625	89.5946772275724	2.38120904663119e-15	4.94327658989936e-14	Up
TRAPPC6A	-1.71585812770616	4.16853660658616	89.5923944799539	2.38413885613947e-15	4.94347364724853e-14	Not Sig
