genes	logFC	logCPM	F	PValue	FDR	sig
BCAR3	1.89822944647016	4.11591466818895	82.2898396905492	1.65057055683885e-14	1.99879509514971e-12	Not Sig
IMPDH2	-1.21398715069146	8.01359496535372	82.2133224738468	1.68379856454781e-14	2.02497099093688e-12	Not Sig
INPP1	0.984514650307223	4.59081626761151	82.1877437286049	1.69604197253184e-14	2.02572465185001e-12	Not Sig
RPS6KA2	1.27154445893077	5.39016610606198	82.1027670382614	1.73504582497631e-14	2.05821286366917e-12	Not Sig
ZNF618	-1.51377745295089	5.11970041138819	82.06453415003	1.75331827286969e-14	2.06583540826363e-12	Not Sig
PCSK5	1.3475034497726	2.56349550727876	81.5181278419924	2.04023454439785e-14	2.38775905941004e-12	Not Sig
RP5-1028K7.2	5.79837070338786	-1.48676149005395	72.9785761521835	2.45414692412087e-14	2.85302760418798e-12	Up
DGKE	1.68460775960618	2.67686381594776	80.6602601155803	2.57513775807384e-14	2.97385776326434e-12	Not Sig
TTC7A	1.5229962605575	5.0886887534062	80.4949182403072	2.68753452879919e-14	3.08323862586844e-12	Not Sig
PTPRE	2.04137974762708	2.8831951152466	80.4703249389361	2.71411286138574e-14	3.09337908998983e-12	Up
CDK4	-1.44947749594133	6.86966495484209	80.2974128371561	2.83618002166151e-14	3.21151345569698e-12	Not Sig
NAT8L	-1.93226896316569	1.97269382074121	80.311221430548	2.86805018161417e-14	3.22664897206373e-12	Not Sig
DPH5	-0.90715050603344	4.50670498935736	80.1478957854121	2.95550154551083e-14	3.30372025324474e-12	Not Sig
RP11-111F5.4	-1.61591138513738	1.75529544721072	80.0944423665351	3.0251879392559e-14	3.34779136912377e-12	Not Sig
MEGF8	-1.07797440348214	6.07939934062034	80.0520666237832	3.03332398395204e-14	3.34779136912377e-12	Not Sig
GPRC5B	-1.47122014289029	4.93034028395588	79.9583132581191	3.11328313867848e-14	3.41442964605505e-12	Not Sig
FKBP10	-2.78549998872502	3.57605484671916	79.8949046682452	3.23580576975442e-14	3.5266238133111e-12	Down
P4HA2	2.19416881300263	5.8222359715197	79.7334699055089	3.3106939097768e-14	3.58583108066384e-12	Up
DNAJC30	-1.08746527397039	4.56273323827818	79.4431919507057	3.58623922876641e-14	3.86029874513758e-12	Not Sig
CYFIP2	-1.65083920269249	4.88706908876305	79.3145178413567	3.71535996055936e-14	3.9664151016677e-12	Not Sig
ARHGEF4	2.0881638602519	3.50486686844144	79.3039321141164	3.73031354899359e-14	3.9664151016677e-12	Up
FBLN2	2.82521941102013	5.29296432187347	79.1347098382132	3.90690087790977e-14	4.12900227327216e-12	Up
SLC12A7	1.18942694589021	6.75916369843655	78.8265569066314	4.24919953946426e-14	4.46370732344445e-12	Not Sig
RASD1	2.96561950756332	3.93549406687634	78.7958543714444	4.30138878691865e-14	4.49147411175374e-12	Up
SMAP2	1.08847898683362	5.78079032417859	78.4174102358781	4.75798049254186e-14	4.93867046600863e-12	Not Sig
ALDH1B1	-1.88406416467954	4.42411536546073	78.1045380744857	5.19367472056268e-14	5.35901182113443e-12	Not Sig
CAPN13	-3.50055263533922	5.25203577763733	77.9617703485732	5.40198975842635e-14	5.54117043573169e-12	Down
TXNRD1	1.72020067249723	7.01885007105647	77.8418168569807	5.58097560007144e-14	5.69128962070443e-12	Not Sig
PKN2-AS1	3.42156885229033	0.727345809895873	77.5463938335753	5.73931353896486e-14	5.81872962165518e-12	Up
NREP	-1.68718977695192	5.678728406679	77.6250663723482	5.92772809852641e-14	5.97501286601754e-12	Not Sig
C19orf48	-1.3291779787141	6.51262764782475	77.5402317627569	6.06891248500168e-14	6.082166431808e-12	Not Sig
MARCKSL1	-1.15215587919055	8.26367375765981	77.431445055563	6.25540547671388e-14	6.23324346873923e-12	Not Sig
TREM1	4.67384769808504	3.44214514090902	76.378357579435	6.29790037923023e-14	6.23993106892141e-12	Up
SOD3	-2.32496906302713	6.32285987862876	77.3132128716173	6.46579937799189e-14	6.37009093522161e-12	Down
GJB3	2.86767632775131	4.09931057102069	77.0549512222994	6.95568872390966e-14	6.81423033525487e-12	Up
NMRAL2P	3.53747835463677	-0.959628004203514	74.7697505535807	7.19756762417241e-14	6.97596672554534e-12	Up
PATZ1	-0.778123544789112	6.16994364443642	76.9141625116882	7.22579684234443e-14	6.97596672554534e-12	Not Sig
AARS2	-1.06666679567028	4.88136011273499	76.9072218410569	7.24079583280025e-14	6.97596672554534e-12	Not Sig
TYRO3	-1.78570914913596	3.08333630001866	76.7601075413023	7.56919467299981e-14	7.25228663229509e-12	Not Sig
AHCYL1	1.20106367974093	7.62432696318821	76.6912611066482	7.69007490210976e-14	7.32784295863334e-12	Not Sig
DYNLT3	1.5297416329827	4.40332336332544	76.5224681179999	8.06469114286173e-14	7.63020184836592e-12	Not Sig
PGAP2	-0.969700469285453	4.9219395384128	76.4932067629547	8.12889679125737e-14	7.63020184836592e-12	Not Sig
HECA	1.41282613627827	3.90250753675805	76.4908403984348	8.13864860532206e-14	7.63020184836592e-12	Not Sig
STX11	3.41405549147039	1.21002516974128	76.183845178604	8.39401886040608e-14	7.82753480683215e-12	Up
PTPRH	3.18816015997375	3.26381940980502	75.7950276903102	8.82069789496265e-14	8.1816664836361e-12	Up
WIPF3	2.0805830009604	2.66035981252064	75.9423191240406	9.51909723116393e-14	8.78275224957866e-12	Up
ZRANB3	-1.32969879475442	2.55298798315705	75.5411791054168	1.06506431188466e-13	9.7750481424446e-12	Not Sig
ZNF512	-1.15001710922275	4.72191122989428	75.4906694270401	1.07726154358575e-13	9.83522868955405e-12	Not Sig
HPS5	1.10038117143947	3.87171698392549	75.2122043960062	1.16573002877908e-13	1.05875001259633e-11	Not Sig
SLC15A1	2.26467843539228	2.88952786443758	75.2089464982153	1.1722321738412e-13	1.05913910090377e-11	Up
CEP70	1.40363049901433	4.5802956139104	75.0712079311943	1.21258622426488e-13	1.0899525040583e-11	Not Sig
GPR146	2.81310419278365	0.943285007025325	73.7148646741035	1.38531934290858e-13	1.23883070264819e-11	Up
OGG1	-1.10977716787176	3.346941641507	74.5307908780826	1.4139000061074e-13	1.251747753564e-11	Not Sig
C16orf74	3.01915573609451	2.12523387810503	74.570273454199	1.41805539329754e-13	1.251747753564e-11	Up
RP11-568A7.3	3.23788821074063	1.26148771808559	74.6957345632191	1.42129863060943e-13	1.251747753564e-11	Up
EML2	1.36889895706609	5.47688879851234	74.4676641889578	1.43799405708866e-13	1.26008745565387e-11	Not Sig
TRIL	-3.09945761999264	1.78649414307547	74.540052140542	1.45183459852799e-13	1.26585458645655e-11	Down
ADCY5	-1.92171396766592	4.29552871244005	74.3934864634018	1.46919500045144e-13	1.27461803073991e-11	Not Sig
COL26A1	-2.16238347058723	0.811815704235178	73.68026305337	1.57073774111086e-13	1.35596657076689e-11	Down
ELOVL7	1.48498989328209	3.98545653863443	73.5314626347953	1.87730822860753e-13	1.61263551184523e-11	Not Sig
KIAA1217	-1.07155667002254	7.68672242354683	73.4488102145734	1.92092218867785e-13	1.64201181991002e-11	Not Sig
OGDHL	-1.95211384934855	5.21478598638254	73.3479957036813	1.97722920444495e-13	1.68189867644444e-11	Not Sig
MAP1LC3A	2.07306939038003	3.39788883394479	73.1809870651418	2.0768694615809e-13	1.75808008111882e-11	Up
CDCA7	-2.63241143814462	4.56093672836778	73.1047580786622	2.1207301806168e-13	1.78653588838627e-11	Down
MTMR4	-0.964559822430273	4.7508775236723	73.0339594368267	2.16293143551142e-13	1.80357932122159e-11	Not Sig
POLR1G	-1.81260083184526	3.54555226393688	73.0303498303052	2.168283189916e-13	1.80357932122159e-11	Not Sig
ONECUT2	-3.36270191401143	2.69679541740398	73.1113370644763	2.17199023658982e-13	1.80357932122159e-11	Down
BIK	1.79655598162284	4.14451332125274	72.7955146376637	2.31669294999301e-13	1.91462045791365e-11	Not Sig
NAT10	-1.000546586374	5.44860503684145	72.6805313378126	2.3926724287285e-13	1.96808593453621e-11	Not Sig
RP11-643A5.3	-3.94047446403332	-1.43208864176705	66.118825740145	2.42747927813188e-13	1.9867792586448e-11	Down
UTP14A	-1.07421913146187	4.4785088569639	72.6158383265127	2.43818535009742e-13	1.9867792586448e-11	Not Sig
LHFPL6	-2.11927333903604	3.45887209470441	72.4394529150486	2.5674904208302e-13	2.07838112484637e-11	Down
SNHG20	-1.52906211189679	2.75793676396267	72.4322991369514	2.57443699373102e-13	2.07838112484637e-11	Not Sig
S100P	5.71352324965635	4.10709445997572	71.8844371470119	2.65721481228516e-13	2.13532312887689e-11	Up
PTPRS	-1.39922521750185	5.85772666872506	72.1214599758351	2.80912282100089e-13	2.24704053911071e-11	Not Sig
LHPP	0.998820557330073	4.76580756989844	72.0803477830979	2.84295800690343e-13	2.25877765091313e-11	Not Sig
FAM20A	-3.45146419105121	5.84286137135243	72.0731793845681	2.84970227778924e-13	2.25877765091313e-11	Down
RHEBL1	3.87586937854725	2.02981952383161	71.7159232893382	2.90718738927659e-13	2.29391555177399e-11	Up
YPEL4	4.55742647982946	-0.580117156834258	70.2898097021267	2.92713902120504e-13	2.29925451584565e-11	Up
GATA2-AS1	3.74334819148431	-0.658747056017302	65.7097382094515	2.97427990329138e-13	2.31791659806535e-11	Up
AK1	1.49624811951416	6.0588497788387	71.919003195524	2.97748203903337e-13	2.31791659806535e-11	Not Sig
ATP2A2	1.05354835180926	8.00714342154947	71.6494259049115	3.21782664623184e-13	2.49388715808848e-11	Not Sig
ACSS2	1.35271064612847	5.75331191570555	71.6002412968788	3.2638277281464e-13	2.51834636829279e-11	Not Sig
SCARA3	-2.55565311777067	5.74253338596821	71.4804813136517	3.37914104187387e-13	2.59583530785007e-11	Down
NKD2	4.13184177420065	4.14594098579291	71.4586074244509	3.41102426875889e-13	2.60883514029024e-11	Up
DELE1	-0.731784355540427	5.86586282258924	71.4074533596749	3.45053902252026e-13	2.6275327281532e-11	Not Sig
PHLDB1	-1.15181793594772	5.08292706484559	71.3685569927577	3.48982461439132e-13	2.64589398372851e-11	Not Sig
MSRB1	1.90097794953119	5.02600746124033	71.3302482536469	3.52883162875117e-13	2.6638859715222e-11	Not Sig
SCGB1D4	8.68718631739759	1.98244229766183	67.8201003093852	3.66744823208643e-13	2.75659320134152e-11	Up
STAT5A	1.75599998121042	2.57830863768278	71.111379225612	3.77643686103385e-13	2.8263307288716e-11	Not Sig
PTPRG	-2.04041839205503	5.48628418227683	71.0415824089407	3.83586840165981e-13	2.84780844412964e-11	Down
PCDHB2	-1.61460761716737	2.27824611231712	71.0813149385975	3.83779667605497e-13	2.84780844412964e-11	Not Sig
