genes	logFC	logCPM	F	PValue	FDR
ACTN1	-0.414043385793542	7.07214002483419	25.1983612787326	1.51429399026541e-05	5.2723069701283e-05
SPEF2	1.03867286651989	5.39813336105485	25.1973334651219	1.51483463923795e-05	5.27307334957754e-05
ZNF750	1.03784581221255	1.9475060265985	25.1922372081876	1.52275567258573e-05	5.29952476617471e-05
DBN1	-0.605880378428229	6.95193300533157	25.1624400952897	1.53075323692537e-05	5.32623128186531e-05
ULK4	0.715934288389667	3.64614671550744	25.1552960876401	1.53444162348445e-05	5.33793595854148e-05
TBC1D30	-0.671138861783904	2.36232562070349	25.1584299511805	1.53536946986345e-05	5.34003449233059e-05
CTSC	-0.498612055054513	7.21612684856686	25.1489594963724	1.53697849310997e-05	5.34422192877335e-05
RP3-402G11.26	0.925220498810319	1.17451167062406	25.176552281208	1.53722315767768e-05	5.34422192877335e-05
FHDC1	-0.526627427758542	4.31447559032935	25.1415714590314	1.54057333877068e-05	5.354737375051e-05
ZNF124	-1.39081065360225	1.89956117309857	25.151732921218	1.54112968491477e-05	5.3555395958033e-05
TUT1	0.412825256528472	4.883979969933	25.129430831838	1.54608221460118e-05	5.37161531412966e-05
CTB-131K11.1	0.924694280486376	-0.37693044726722	25.2593012120021	1.55432777365007e-05	5.39912293165485e-05
SH3TC2	-1.53814848698749	1.80800519228499	25.1387820504325	1.55639490298925e-05	5.40425806428343e-05
PDE4A	0.593162065535285	2.39327360147526	25.1105085706007	1.55646311522551e-05	5.40425806428343e-05
USP46-DT	-1.05299088586204	0.40301996303919	25.1747574179295	1.55877455133229e-05	5.41114162143228e-05
MAP3K6	0.51424500257369	4.81946025906028	25.0967628158843	1.56140445132524e-05	5.41912755880834e-05
CFAP300	1.16197137608809	4.863341391435	25.0793057229184	1.56970322343429e-05	5.44678079070184e-05
AURKB	-1.40065144876623	5.50807717791902	25.0658521137732	1.57598266032756e-05	5.46741685893056e-05
CTTN	0.340192948424681	8.26078966032431	25.0560183670619	1.58063702699642e-05	5.48240770211218e-05
LRGUK	0.951776792073461	3.29866603209629	25.0463930179487	1.58591053449261e-05	5.4995392501977e-05
CAMK1	-0.859022222809412	2.60218678124181	25.0344450255129	1.59191150888928e-05	5.5184114240921e-05
RP6-65G23.3	-0.551269404588972	2.53047876988106	25.0343277758281	1.59202362280354e-05	5.5184114240921e-05
HOXB-AS1	1.08937797723761	2.29595024737416	25.0307369083347	1.59911945774837e-05	5.5411601872184e-05
RP5-1136G13.2	-0.745988121233661	0.633691069437557	25.0444461023108	1.59926014035092e-05	5.5411601872184e-05
NUDT6	-0.602825558429725	2.28187048114284	25.0155771468704	1.60134023848247e-05	5.54719904469892e-05
RAI2	-0.538022562629331	5.91460277051472	25.0040544690278	1.60562170615248e-05	5.56085951324515e-05
PRKRIP1	0.67222063278007	6.35955327908152	25.0030270183057	1.60611848370412e-05	5.56140921393739e-05
DHX40	0.514476663125943	5.83793934511287	24.9988158368247	1.60816369693909e-05	5.5673192294497e-05
RP11-274B21.2	0.93123726584295	2.30077727845209	25.0010975874248	1.60868772468093e-05	5.56796165763224e-05
TMEM167A	-0.475660499303468	5.87660207465703	24.9941928966251	1.61041609679571e-05	5.5727713942756e-05
SPATA18	1.06370933560879	6.52698354429688	24.993235931491	1.61087344436569e-05	5.57318171046477e-05
SLC39A3	-0.569372297411014	4.90994407392664	24.9692516420092	1.62265861713693e-05	5.61277479195113e-05
LCN12	1.23297103108485	3.57104864985079	24.9673047494022	1.62543498883944e-05	5.62119634252629e-05
TRAPPC13	-0.503198599317605	3.65490116728848	24.9547106571287	1.63012314257807e-05	5.63622442592516e-05
FAM182B	1.16635576239737	0.452583650487403	24.8814667415507	1.63126478933254e-05	5.63898656215793e-05
AF228730.14	0.884047533043881	1.16017245307481	24.978757627817	1.63199184056498e-05	5.64031465738119e-05
SMTN	-0.84984140961073	4.24810362247582	24.9480694941994	1.63317518496235e-05	5.6432188548237e-05
GTF3A	-0.576472439464274	6.41463822142966	24.9324673549733	1.64072159391305e-05	5.66810393562865e-05
HSPA8	-1.64536612953522	9.58116336456776	24.9310084608796	1.641443626808e-05	5.66940774818777e-05
TXN2	-0.500345409966427	6.17494457256887	24.9278402387135	1.64301865945412e-05	5.67365658410575e-05
FAM214A	0.711862258156078	4.86702955481585	24.9172793287447	1.64832093810562e-05	5.69077182639569e-05
DEPTOR	0.796810070264202	6.27546598396669	24.9157783656308	1.64902184394721e-05	5.69199713696509e-05
FAM76B	0.565394444282659	3.27683300914522	24.9087446044547	1.65296400702513e-05	5.70440756861138e-05
ADPRM	0.526263014580278	2.30785173675006	24.9075250503347	1.65430520608967e-05	5.70783870498767e-05
KLHL32	1.03880992156826	0.535220883559054	24.9608693047821	1.66136736096905e-05	5.7310032407846e-05
CBX8	0.364618931093369	3.85937658341548	24.888397791596	1.66298328437278e-05	5.73537484511877e-05
C1R	1.10788883129812	2.01348457864361	24.8847896167331	1.66711952203964e-05	5.74761497458587e-05
ADPGK	-0.317442896012662	5.98253824358489	24.8794726868519	1.66723108982577e-05	5.74761497458587e-05
ZHX3	-0.561296066182841	4.74027729670865	24.8722482102736	1.67101680591778e-05	5.75945893026469e-05
RP11-398C13.8	-0.495806312646261	3.96546646676564	24.8535022588341	1.68067662120178e-05	5.79153981889202e-05
COPS9	-0.630157381993661	4.75374582736028	24.8474601531104	1.68356736350627e-05	5.80028621927574e-05
EHMT2	-0.518403609448711	6.04132940383115	24.841654371827	1.68642547609245e-05	5.80891656348344e-05
HPGDS	1.2540628048231	-0.733414125684453	23.5401457738556	1.69224443722503e-05	5.82773984441887e-05
ADAM15	-0.534608697194196	7.57482035886956	24.8269374828893	1.69395575187235e-05	5.8324123219029e-05
LIN52	-0.590725602314509	2.28603838460693	24.828687050744	1.69490819238029e-05	5.8344705320879e-05
IRF8	1.06042396309116	2.94380734237151	24.5575894433812	1.69874901510064e-05	5.84646862916749e-05
ZNF584	0.443659340847105	3.92610541910514	24.8126518324198	1.70154813008184e-05	5.85487728257193e-05
CDC5L	-0.421147901333599	5.69945246231454	24.8058985727814	1.70479576725381e-05	5.86482542180939e-05
TBC1D10A	0.526255870238802	4.71303321227514	24.8010806221544	1.70734999866203e-05	5.87238445076083e-05
PLAA	-0.504651255333649	4.88297258623645	24.7983192731238	1.70879089164327e-05	5.87611182241294e-05
SRRM2-AS1	0.746341436570811	1.49504737958983	24.8052851838874	1.7104692789179e-05	5.88065414994325e-05
CACNA1D	1.11169081456725	1.64662502702097	24.8056888866579	1.71321409486793e-05	5.88886023290269e-05
KDM4A	-0.408015385586025	6.02610090290925	24.7811498718833	1.7176228046095e-05	5.9027810233196e-05
ANLN	-0.912911332813793	6.16360331181362	24.7733309530808	1.72172210328283e-05	5.91563289914491e-05
CCDC9B	-1.23426026403388	4.13346334268291	24.7720255569991	1.72279977298447e-05	5.91809961690696e-05
KIF17	1.11076651375652	3.16552816490303	24.7721291063143	1.72349998860127e-05	5.91926895876397e-05
TRPC4AP	0.415998020621816	6.53929534413237	24.7639981585172	1.72657586222601e-05	5.92859518043834e-05
SOD3	0.932136054662117	5.82285030987594	24.7514384482885	1.73334567910187e-05	5.95059886621552e-05
RP11-283G6.3	1.04228988024155	0.23681104643731	24.5280068564044	1.73524603241788e-05	5.95587992474578e-05
CCDC69	0.893649562025536	4.33040130145646	24.7461269435924	1.73629578108109e-05	5.95823986119422e-05
RAD1	-0.491591807145747	4.28275411685425	24.7417850104996	1.73842080449996e-05	5.96428793635638e-05
TRIOBP	0.39556878350104	6.66119433609459	24.7404496202074	1.73895071679826e-05	5.96486201877568e-05
GEMIN7	-0.601670001251507	3.87023530734371	24.7392649663927	1.73987191418349e-05	5.96677774864137e-05
ATG10	-0.510161876996452	2.96454647547366	24.7391849686955	1.74026516356499e-05	5.96688249391573e-05
KATNAL1	0.733693545765732	2.48876828120997	24.7382213835117	1.74134784007267e-05	5.96843962161082e-05
ING3	-0.502709253238501	3.36962751622288	24.7367981617226	1.74144490813519e-05	5.96843962161082e-05
RP11-566E18.1	-1.43026565812885	-0.0537756316605672	24.4922461579627	1.74185383298552e-05	5.96859766849505e-05
CXCL10	-2.51362156785284	5.40546753914723	24.0031831989244	1.74305465549914e-05	5.97146858342696e-05
ZMAT1	1.27653324519417	0.012685461880507	23.3172824994004	1.74431434064749e-05	5.97453991630062e-05
RPAIN	0.38362139367469	5.23614028866886	24.7247431887722	1.7472634312837e-05	5.98339523481434e-05
IGFBP7	1.07738181191562	7.71265778906789	24.7212088749224	1.74914297293481e-05	5.98858502554642e-05
AGGF1	-0.478263369568639	5.08324376400367	24.7201340220019	1.74976697820235e-05	5.98947493932726e-05
CCND1	-0.652500274507317	8.71482907723149	24.7092962219778	1.7554653774048e-05	6.00773058533105e-05
ZFC3H1	0.534387964339456	4.96270745948482	24.706141665696	1.75719261521193e-05	6.01239095525196e-05
RP11-510D21.1	-1.13521235526449	-0.3525034070405	24.7595108821598	1.75803023189794e-05	6.01400610209045e-05
SVIP	-0.612608831797829	4.02446039281218	24.7017577936989	1.75974803196567e-05	6.01863095090794e-05
KCNG3	1.22906687244213	0.3654513124158	24.7679316631476	1.76232759498561e-05	6.02620063710419e-05
IDUA	0.818852307969241	4.76223697675283	24.6897529348655	1.76608236136839e-05	6.03778489752107e-05
SYT1	-2.89043495761505	-0.757497948909735	22.5442019236375	1.77083541790416e-05	6.05277653437383e-05
TNFRSF6B	1.49492882850702	6.09720531487137	24.6225328134577	1.77270437963309e-05	6.05790605511924e-05
AC011330.13	1.06259038432973	0.448911806040773	24.7724261458063	1.77385821847927e-05	6.06059014583645e-05
RP4-591C20.9	-0.525621410896886	3.02317746224644	24.6681565290394	1.77816222919736e-05	6.0740338107404e-05
DLEU2	-0.826935596642562	1.20523751748942	24.6769914408331	1.77928798529006e-05	6.07661753082971e-05
AP3M1	-0.507122188601355	5.15587657301412	24.6568060734761	1.78374342919414e-05	6.0893831426968e-05
EPHB2	-0.616981440369322	4.87358345950829	24.6568710912362	1.78376617619937e-05	6.0893831426968e-05
L3HYPDH	0.645176366096835	2.53464490212344	24.6573234171931	1.78451045581529e-05	6.09040759850546e-05
BMS1	-0.346869869812673	6.19223306413512	24.6547138415785	1.7848067006501e-05	6.09040759850546e-05
SIAH2	0.600051552767819	4.8952707759639	24.6322603600729	1.79706589942486e-05	6.13096870830328e-05
GPT2	0.62299300728038	6.69706469270484	24.6229386956782	1.80212338465265e-05	6.14694833110528e-05
SUPT6H	-0.426299517049132	6.74037474638975	24.6178055949068	1.80493772437519e-05	6.15527166328693e-05
CEP83	0.519024414564219	4.64832583896943	24.6138629777364	1.80720351839662e-05	6.16172126034048e-05
MFAP3	-0.602625914551471	4.72607470847832	24.5891379086959	1.82087088778026e-05	6.20703418459864e-05
NUDT9	-0.386600745782641	5.24009491400686	24.5868023846667	1.82204827162534e-05	6.20976095224953e-05
ERVMER34-1	-1.07319442685785	1.32598596210816	24.6059416904251	1.82857077373545e-05	6.23069962691009e-05
CCDC113	1.06976386665638	6.3486545761603	24.5686882097794	1.83210641180639e-05	6.24145425152762e-05
SERINC1	0.490692071822203	6.16475662886898	24.5630928616129	1.83522773883805e-05	6.25079327776911e-05
IFI27L2	0.83672795310342	3.0975285409902	24.5625834622335	1.83722786632476e-05	6.25631041790698e-05
PIP4P2	-1.02066011683768	0.988052638761732	24.5808416494582	1.83788655580891e-05	6.25725822218801e-05
SYVN1	0.46489404393063	6.438704753649	24.5477608493608	1.84381079489335e-05	6.2761289854729e-05
SCARA3	-1.06874136073556	5.34725965221902	24.5462455858821	1.84477561710217e-05	6.27811412431688e-05
KIF18A	-1.16200192117909	3.82563292179178	24.5414364919977	1.84776841067514e-05	6.28699857787316e-05
ZNF606	0.524510893789392	3.86235038310859	24.5401276914545	1.8484008275483e-05	6.28784987882488e-05
UTP11	-0.471043183387668	4.75998455742286	24.5323506530016	1.85258876617377e-05	6.30079342409027e-05
PAPLN	0.958019916553928	3.92736709546152	24.5079550143684	1.86678006294145e-05	6.34774675805081e-05
PKD1P5	0.841903925366641	3.55868773263868	24.4941105998911	1.8756403655693e-05	6.37553872636688e-05
SPSB2	0.591653680815312	4.49311555703894	24.4916594058665	1.87572837126106e-05	6.37553872636688e-05
MAP3K21	-0.560311531670965	4.64962160485418	24.4903322367134	1.8765592330007e-05	6.37704522662559e-05
RRNAD1	0.32283884821485	4.86611980025147	24.4699279384571	1.88807111332175e-05	6.41403667609584e-05
VPS45	-0.457296170199425	5.08353684563972	24.4696648969524	1.88822440109003e-05	6.41403667609584e-05
ARID3B	0.493030224786562	3.50690591244303	24.4635604407414	1.89208193142722e-05	6.42581334721494e-05
ZNF426-DT	0.935458830844122	0.313300339708315	24.5587905160923	1.89715028183964e-05	6.44169644717108e-05
EIF4E	-0.623466093953022	5.82379400275933	24.4525317023376	1.89812070138311e-05	6.44366150607792e-05
FKRP	-0.52591817952329	4.42096884920909	24.4432316050973	1.90361429849514e-05	6.46097768197722e-05
LRRC40	-0.895076985844969	3.08842418241441	24.4435452498427	1.90435217539854e-05	6.46214885261579e-05
NPIPB8	1.67343853273707	0.00149874909733018	23.9145939129794	1.90678287483795e-05	6.4690627085913e-05
TUBA4B	1.65003014470208	5.95164182537153	24.4364485053225	1.90773870318345e-05	6.47097101156103e-05
DPY19L1P1	0.790882359227365	0.146334745357689	24.5117879688577	1.9082520212176e-05	6.4713778604516e-05
